,From,To,Connection
0,3521,3524,1
1,3521,5739,1
2,3521,8396,1
3,3524,522,1
4,3524,549,1
5,3524,1046,1
6,3524,1903,1
7,3524,2028,1
8,3524,2030,1
9,3524,2031,1
10,3524,2110,1
11,3524,2181,1
12,3524,2518,1
13,3524,2712,1
14,3524,2786,1
15,3524,2788,1
16,3524,3065,1
17,3524,3303,1
18,3524,3521,1
19,3524,3577,1
20,3524,3750,1
21,3524,3782,1
22,3524,4064,1
23,3524,4998,1
24,3524,4999,1
25,3524,5095,1
26,3524,5151,1
27,3524,5264,1
28,3524,5299,1
29,3524,5642,1
30,3524,5925,1
31,3524,6397,1
32,3524,6880,1
33,3524,7393,1
34,3524,7912,1
35,3524,8396,1
36,3524,8476,1
37,3524,8539,1
38,3524,8590,1
39,3524,8885,1
40,3524,8891,1
41,3524,8934,1
42,3524,9392,1
43,3524,9596,1
44,3524,9746,1
45,3591,4321,1
46,3591,6083,1
47,6083,197,1
48,6083,456,1
49,6083,751,1
50,6083,3591,1
51,6083,4742,1
52,6083,4806,1
53,6083,5075,1
54,6083,5604,1
55,6083,9076,1
56,6083,9333,1
57,6083,9610,1
58,6083,9781,1
59,6397,94,1
60,6397,444,1
61,6397,639,1
62,6397,640,1
63,6397,751,1
64,6397,871,1
65,6397,1325,1
66,6397,1695,1
67,6397,1903,1
68,6397,1930,1
69,6397,2028,1
70,6397,2053,1
71,6397,2518,1
72,6397,2882,1
73,6397,3035,1
74,6397,3065,1
75,6397,3269,1
76,6397,3512,1
77,6397,3524,1
78,6397,4069,1
79,6397,4757,1
80,6397,5151,1
81,6397,5792,1
82,6397,6343,1
83,6397,6463,1
84,6397,6555,1
85,6397,7062,1
86,6397,7294,1
87,6397,7660,1
88,6397,8012,1
89,6397,8188,1
90,6397,8291,1
91,6397,8662,1
92,6397,8733,1
93,6397,9076,1
94,6397,9641,1
95,7660,222,1
96,7660,478,1
97,7660,2228,1
98,7660,3269,1
99,7660,3281,1
100,7660,3654,1
101,7660,3671,1
102,7660,3722,1
103,7660,3741,1
104,7660,4088,1
105,7660,4093,1
106,7660,4243,1
107,7660,4746,1
108,7660,5603,1
109,7660,5678,1
110,7660,5984,1
111,7660,6397,1
112,7660,8507,1
113,4742,223,1
114,4742,600,1
115,4742,743,1
116,4742,1899,1
117,4742,2131,1
118,4742,2334,1
119,4742,2745,1
120,4742,3117,1
121,4742,4170,1
122,4742,4383,1
123,4742,4808,1
124,4742,5027,1
125,4742,5036,1
126,4742,5772,1
127,4742,5917,1
128,4742,6083,1
129,4742,6495,1
130,4742,7492,1
131,4742,7563,1
132,4742,8193,1
133,4742,8218,1
134,4742,9076,1
135,4742,9333,1
136,8218,436,1
137,8218,743,1
138,8218,4742,1
139,8218,5482,1
140,8301,94,1
141,8301,345,1
142,8301,359,1
143,8301,1014,1
144,8301,2545,1
145,8301,2563,1
146,8301,2669,1
147,8301,2902,1
148,8301,3207,1
149,8301,3750,1
150,8301,4014,1
151,8301,4227,1
152,8301,4709,1
153,8301,4876,1
154,8301,4949,1
155,8301,4989,1
156,8301,5151,1
157,8301,6463,1
158,8301,6724,1
159,8301,7805,1
160,8301,8753,1
161,8301,8908,1
162,8301,9390,1
163,8301,9603,1
164,8301,9604,1
165,8301,9739,1
166,9603,94,1
167,9603,573,1
168,9603,1014,1
169,9603,2497,1
170,9603,2669,1
171,9603,2902,1
172,9603,3675,1
173,9603,3750,1
174,9603,4014,1
175,9603,4227,1
176,9603,4277,1
177,9603,4806,1
178,9603,4949,1
179,9603,4989,1
180,9603,5151,1
181,9603,5237,1
182,9603,6463,1
183,9603,6630,1
184,9603,6724,1
185,9603,7464,1
186,9603,7734,1
187,9603,7805,1
188,9603,7850,1
189,9603,8300,1
190,9603,8301,1
191,9603,8302,1
192,9603,8348,1
193,9603,8753,1
194,9603,8934,1
195,4806,751,1
196,4806,926,1
197,4806,1336,1
198,4806,1339,1
199,4806,1795,1
200,4806,2352,1
201,4806,2564,1
202,4806,3938,1
203,4806,4061,1
204,4806,4277,1
205,4806,4661,1
206,4806,4989,1
207,4806,5049,1
208,4806,5050,1
209,4806,5414,1
210,4806,5606,1
211,4806,6083,1
212,4806,7847,1
213,4806,7946,1
214,4806,8222,1
215,4806,8430,1
216,4806,8753,1
217,4806,9076,1
218,4806,9293,1
219,4806,9333,1
220,4806,9603,1
221,8222,4806,1
222,8222,9333,1
223,9333,751,1
224,9333,1630,1
225,9333,2135,1
226,9333,2338,1
227,9333,2518,1
228,9333,3065,1
229,9333,3095,1
230,9333,4158,1
231,9333,4277,1
232,9333,4742,1
233,9333,4806,1
234,9333,5075,1
235,9333,5299,1
236,9333,5414,1
237,9333,5604,1
238,9333,6083,1
239,9333,6815,1
240,9333,7563,1
241,9333,7830,1
242,9333,8193,1
244,9333,8430,1
245,9333,9076,1
246,9333,9599,1
247,9333,9701,1
248,1683,209,1
249,1683,539,1
250,1683,2028,1
251,1683,5739,1
252,2028,260,1
253,2028,331,1
254,2028,378,1
255,2028,444,1
256,2028,522,1
257,2028,735,1
258,2028,972,1
259,2028,1095,1
260,2028,1585,1
261,2028,1683,1
262,2028,1730,1
263,2028,1908,1
264,2028,1941,1
265,2028,2398,1
266,2028,2882,1
267,2028,2977,1
268,2028,2982,1
269,2028,3524,1
270,2028,3592,1
271,2028,3754,1
272,2028,3838,1
273,2028,3934,1
274,2028,4069,1
275,2028,4078,1
276,2028,4105,1
277,2028,4715,1
278,2028,4772,1
279,2028,4849,1
280,2028,4851,1
281,2028,4923,1
282,2028,4987,1
283,2028,4999,1
284,2028,5299,1
285,2028,5739,1
286,2028,5792,1
287,2028,6072,1
288,2028,6397,1
289,2028,6880,1
290,2028,6937,1
291,2028,7106,1
292,2028,7360,1
293,2028,7842,1
294,2028,7844,1
295,2028,7847,1
296,2028,7889,1
297,2028,8012,1
298,2028,8382,1
299,2028,8476,1
300,2028,9076,1
301,2028,9869,1
302,5739,348,1
303,5739,522,1
304,5739,735,1
305,5739,1133,1
306,5739,1540,1
307,5739,1615,1
308,5739,1683,1
309,5739,1908,1
310,5739,1930,1
311,5739,2028,1
312,5739,2387,1
313,5739,2517,1
314,5739,2803,1
