,From,To
243,9333,8222
477,7442,6234
667,5917,4437
1054,5620,1829
1595,1224,1573
1905,5247,1133
2417,8404,7357
2454,6965,1224
2587,6487,3954
2588,6487,4975
2589,3031,1142
2590,3031,3481
2591,3031,5621
2844,9013,4317
2961,3025,8991
2990,416,8155
3026,5893,2879
3038,8396,3521
3049,9692,2530
3341,9548,7799
3347,7028,2517
3405,1325,9076
3495,7777,5662
3524,7134,6909
3638,743,8218
3688,9666,5439
3689,9666,6000
4117,9531,9672
4143,6463,5237
4160,3695,8329
4454,732,8008
4644,4942,6952
5076,6115,3035
5542,7232,9829
5575,8348,9603
5592,405,3881
5645,9144,6436
5646,4608,4186
5655,921,7713
5742,2130,5957
5766,6519,4893
5781,4987,1730
5782,4987,2028
5820,5377,9007
5835,9660,8357
5854,9140,6474
5933,3406,219
6013,8587,7652
6113,4629,8804
6155,1959,496
6291,9280,7723
6374,1649,7444
6416,8314,5435
6447,3718,375
6535,9499,9869
6574,7393,5789
6584,6718,3678
6587,9301,492
6595,3744,8657
6599,3516,8587
6603,7650,7912
6605,7583,2923
6654,5793,7755
6665,4234,7916
6691,2591,3979
6692,2591,5146
6749,8181,7963
6779,9511,4280
6851,7586,2333
6854,7586,7457
6857,9679,5996
6864,4959,3179
7076,542,8228
7079,817,8476
7110,4903,2491
7131,6979,5784
7132,1480,5197
7202,2034,1952
7288,7563,7425
7476,5428,5499
7551,7147,3747
7552,7117,895
7791,8331,4700
8037,8638,300
8069,8857,7310
8193,4129,9348
8245,9834,2803
8287,6452,2018
8311,4573,3713
8369,8302,9603
8594,1234,972
8646,539,1683
8735,6136,8838
8751,5817,5417
8775,4890,3569
8997,7849,7658
9211,6778,6293
9220,9347,5791
9238,8347,4105
9239,2363,8891
9384,7246,7658
9390,5935,7248
9396,4321,3591
9484,8519,1308
9490,5059,8991
9522,8338,3964
9524,8338,6507
9569,5924,2458
9570,5924,2645
9571,5924,3242
9572,5924,4020
9573,5924,5062
9574,5924,6880
9678,5287,2785
9699,9329,8006
9706,6155,3400
9737,7317,5134
9746,8428,5577
9773,9504,2032
9885,6498,7098
9923,5006,1038
9924,1380,2032
9987,6895,5604
10054,122,1831
10058,2957,199
10060,9427,5791
10286,9000,7907
10339,8299,400
10407,7918,5863
10416,9546,2626
10528,5323,5303
10548,3058,9724
10635,9409,2519
10863,8900,5282
10883,792,5008
10944,3580,3494
10945,3580,3523
10961,6767,1377
10962,6767,7425
10966,7649,6002
11022,7758,1819
11029,3115,2237
11030,3115,6302
11031,6329,1831
11158,669,9095
11159,65,669
11160,65,1505
11186,8272,6148
11206,8009,2837
11237,1702,1926
11272,6166,3281
11276,7606,5938
11287,8965,2236
11335,4000,6293
11336,5320,4000
11339,4168,5141
11399,1930,6862
11546,7482,2817
11576,5434,5084
11592,3901,1357
11599,5293,1786
11623,8829,3632
11626,8829,5649
11627,8829,5979
11649,9275,3089
11650,2482,5604
11654,7972,2412
11660,7967,5907
11738,1720,431
11780,7746,8365
11802,2985,1595
11803,2985,3356
11813,964,9413
11815,2944,964
12049,8337,7334
12082,4872,1240
12095,261,184
12096,261,6260
12098,155,8708
12111,8713,8804
12156,7169,6218
12180,6046,1131
12181,6046,1341
12216,7722,2469
12217,7722,4609
12223,6591,1443
12237,8955,1831
12243,1897,6302
12294,8928,7972
12341,2676,3356
12359,4011,3810
12399,2371,8713
12428,8813,2047
12429,8813,2845
12436,1587,6018
12473,6561,6080
12509,6394,5224
12565,5278,3240
12750,9697,1719
12774,6991,3356
12775,9485,3240
12784,9436,8887
12808,806,7161
12812,806,8312
12849,2718,2274
12874,3601,59
12875,3601,3240
12892,4565,3240
12936,9440,7367
12937,9440,8500
12959,7279,5723
12960,5393,7276
12978,3900,2078
12985,8267,1722
12986,8267,1723
12987,8267,1803
12988,8267,3002
12992,948,4437
13006,3676,2278
13013,796,2943
13025,8458,7105
13027,8458,7553
13057,2720,8521
13076,7382,4582
13110,8121,1848
13128,7067,2104
13129,7067,2794
13130,7067,5058
13132,304,4058
13157,9010,3725
13196,6064,3328
13200,6064,5429
13211,4197,3003
13218,9446,4499
13243,9503,8920
13287,2945,1974
13302,8668,4066
13336,6560,1400
13352,6697,1098
13354,6390,5358
13357,7527,701
13389,6224,4902
13424,8730,5954
13425,8730,7155
13471,3090,2085
13501,377,1244
13518,7556,2231
13548,5500,4753
13649,4838,1531
13658,7292,3610
13733,7106,8458
13762,6950,608
13773,2372,2268
13774,2372,8280
13775,7610,8055
13792,146,909
13796,7456,9151
13815,8664,1636
13892,1815,5594
14020,3560,772
14038,9254,643
14039,9254,1775
14041,9254,9697
14069,7732,2386
14070,7732,5235
14138,3558,4585
14142,9493,2700
14146,8770,203
14154,9419,7444
14206,8247,8200
14210,3146,156
14218,4915,4234
14227,6672,7842
14243,1218,6167
14283,4501,733
14319,8573,2527
14339,3936,66
14341,2285,9197
14343,1900,4082
14411,7464,9603
14427,9694,5262
14455,8959,6084
14480,8642,1869
14481,8642,3796
14529,3770,9018
14543,5742,6190
14544,5742,9020
14548,4153,174
14627,5468,9854
14628,2489,3354
14630,8543,7364
14632,830,103
14671,4992,6961
14701,299,2837
14772,6783,3037
14773,6783,4333
14866,3358,6000
14898,3448,8337
14935,9584,8657
14940,1473,6895
14973,5284,3089
14987,3589,1558
14988,3589,3676
15012,8694,1673
15033,9334,9686
15052,1772,5354
15078,9125,4117
15082,9125,7386
15135,7577,1011
15136,7577,9699
15215,6366,1200
15231,2411,9531
15246,9513,6676
15255,9482,5010
15269,2121,4992
15272,771,682
15313,9355,2827
15315,9355,4619
15356,9565,5035
15358,9565,8416
15403,8229,7179
15410,3330,5890
15434,9130,8407
15445,7413,2753
15449,7800,5204
15483,8399,3033
15486,1420,4890
15499,9294,1152
15500,9294,1973
15510,6426,5423
15513,7384,1531
15522,7392,6543
15530,7431,566
15533,7431,6912
15535,6523,3881
15588,6634,1798
15642,8669,5986
15643,8669,6056
15655,3235,9783
15686,2050,7267
15707,514,9628
15720,9404,3452
15725,5461,9829
15727,9392,3524
15730,8571,723
15732,8571,1972
15733,8571,2156
15810,7085,7914
15812,1685,924
15813,4323,2543
15815,7623,4323
15817,3973,3513
15850,1046,8891
15851,6838,1046
15883,4828,8642
15974,5195,5506
16001,5261,8145
16108,5754,7098
16109,3348,1131
16119,6321,2604
16120,6321,3071
16121,6321,4430
16135,152,7720
16167,5218,9212
16247,9179,1345
16273,8921,6162
16275,6376,834
16282,5758,777
16292,5677,1530
16294,5677,1858
16344,9567,8724
16364,7298,3379
16367,7298,7098
16378,1794,4427
16392,1130,188
16397,7289,1130
16412,5551,5565
16413,5551,6773
16415,7512,2087
16436,3603,1971
16445,4396,7563
16452,4206,4025
16489,4746,4312
16503,6265,2271
16504,8766,1820
16512,8766,9548
16560,8860,6284
16593,6636,9331
16602,3891,5990
16613,4207,4600
16645,8964,2041
16646,8964,5204
16649,8964,7361
16718,5466,5646
16739,8064,7536
16746,5106,1735
16750,5106,6526
16778,9273,918
16783,4376,5253
16793,5552,9238
16837,5286,1802
16842,401,7576
16952,6564,1882
17014,8303,7108
17016,8303,9869
17057,47,5178
17084,9707,8438
17085,3735,6543
17086,3204,3494
17120,9037,2170
17157,8814,8652
17158,3451,2668
17164,8193,8353
17195,2891,1703
17196,2891,9151
17198,9675,2287
17229,1108,8003
17293,9794,2961
17295,9794,5624
17305,7389,2962
17338,8322,6904
17343,596,8887
17361,5595,956
17362,5595,8228
17368,245,8404
17401,2189,3950
17402,2158,9078
17429,4847,6580
17431,966,5128
17432,966,7349
17433,966,9197
17453,7282,6745
17493,3013,6681
17501,9719,3013
17506,8808,267
17507,8808,1901
17537,9297,7295
17573,2474,9074
17594,9664,369
17595,9664,8658
17614,2630,6282
17625,9651,4106
17659,5406,5996
17671,6095,4169
17715,6399,3747
17731,9332,3016
17749,8281,7098
17772,1017,190
17797,7159,7846
17804,8111,8917
17805,7684,7683
17855,8983,9040
17857,3314,3303
17864,923,284
17884,6704,395
17910,8692,4659
17951,6934,8976
17962,7748,1763
17964,1793,8314
18062,6924,2925
18077,8125,8157
18087,5763,4989
18089,3659,1363
18090,2773,9714
18091,2455,4234
18101,1181,6100
18105,6230,6288
18106,6230,8616
18119,4808,2710
18120,4808,3751
18151,6290,5920
18152,2486,6453
18153,2486,9154
18155,5315,126
18222,2978,3579
18227,2131,8337
18228,6533,1102
18229,6533,7179
18231,7245,810
18241,9019,8785
18259,8251,6608
18325,1320,9148
18327,7719,6059
18333,1839,8144
18335,568,9074
18337,9219,2352
18348,6614,2771
18352,18,5965
18356,18,9016
18383,3843,8439
18408,4594,6167
18450,9606,1403
18451,9606,8318
18472,1626,5677
18475,2504,1626
18476,5367,6136
18477,2740,2657
18479,2691,8476
18485,4366,4283
18486,4366,6904
18502,6940,6141
18505,2979,2702
18511,2981,2979
18512,2981,2980
18526,4183,2100
18552,8037,2078
18559,4175,311
18560,4175,333
18563,6737,6426
18575,3075,8612
18576,3082,5171
18598,9211,2937
18670,3576,2137
18789,9257,4053
18813,4479,1085
18831,9216,8067
18836,6185,3406
18846,620,671
18880,8129,5495
18890,4709,8301
18920,6744,1080
18921,6744,1605
18922,6744,3538
18923,6744,4304
18952,3012,8995
18958,3010,3012
18996,7741,5293
18997,7741,7267
18998,8754,3715
19000,8754,8524
19011,3514,99
19012,3514,3271
19013,3514,3307
19014,3514,8028
19015,3514,9577
19016,4196,9390
19019,9269,8378
19020,9269,9858
19035,3873,2860
19057,5605,3435
19081,8686,5825
19140,5217,924
19152,5217,7958
19167,8778,4322
19217,1182,9816
19228,2997,7937
19245,9439,1682
19251,3415,550
19264,9529,6946
19300,1923,7555
19307,4671,7213
19322,7173,7771
19329,456,2648
19347,8683,4648
19348,8683,8073
19371,42,5917
19372,42,9091
19382,7665,4123
19390,7665,7346
19431,7062,1960
19452,9143,3592
19526,8990,7179
19531,4632,9287
19533,6565,4283
19537,7494,1893
19571,5255,5134
19573,9128,4257
19574,9128,8407
19592,8832,6407
19594,8832,6906
19595,8450,2328
19618,2276,1545
19619,2276,3203
19622,2276,8786
19630,1740,5073
19645,5888,335
19646,5888,9041
19650,9460,3192
19662,9825,5996
19663,9825,6732
19673,7573,4676
19682,5193,5195
19687,7763,1851
19690,7763,8934
19691,8762,7763
19728,1850,4623
19730,1850,5925
19733,651,1144
19761,2446,651
19762,73,231
19763,73,771
19769,73,9355
19791,6966,1584
19792,6966,3935
19800,7404,4792
19803,4841,4594
19818,3582,9721
19819,8789,2864
19820,8789,6714
19821,8789,6834
19886,8847,4388
19887,8847,5969
19888,8847,8059
19901,9228,8223
19912,6435,2741
19917,1044,7733
19966,9731,8809
19974,2136,9151
19977,633,6509
19978,633,8887
19984,5391,3588
19991,661,2088
19992,4450,2164
20010,7305,4543
20018,9215,6755
20033,7436,2196
20056,3140,618
20064,3140,3872
20072,7547,6519
20075,9366,2036
20125,403,5809
20131,881,5809
20134,4079,1665
20137,4079,9635
20154,6328,4086
20155,6328,4321
20160,6958,2018
20186,4356,1785
20198,4661,4670
20210,3785,835
20222,4354,5583
20231,9121,1351
20232,9121,5733
20233,9121,7341
20255,9559,8654
20258,5476,5157
20259,5476,7758
20263,7191,4053
20269,4740,1210
20277,5305,2336
20278,5305,2726
20279,5305,4558
20283,3586,5987
20285,9340,1255
20286,9340,3726
20293,9838,3172
20318,8237,6698
20319,3436,299
20334,8993,2100
20335,8993,2310
20343,5885,2271
20356,478,1213
20411,855,9700
20447,2671,8011
20449,7363,2469
20450,7363,2671
20460,5470,2403
20461,5470,2635
20462,5470,5334
20470,8790,507
20491,2815,6543
20493,5648,1289
20498,9033,1308
20499,9033,5381
20502,1574,9151
20511,9566,337
20515,9566,8727
20516,7336,6382
20518,1163,4526
20519,5115,492
20526,7256,6816
20569,1489,9349
20583,9052,2353
20584,9052,8243
20626,9243,3669
20660,8079,1762
20662,8079,6426
20668,2722,5656
20724,5643,775
20731,1611,1959
20743,7730,3298
20760,6993,4510
20774,9410,566
20783,2014,5589
20788,1364,204
20830,3534,73
20832,3534,791
20837,3534,4648
20838,3534,6652
20842,3534,8675
20850,9776,2784
20865,2147,8413
20874,856,7972
20884,4599,3547
20888,4599,5280
20896,9430,8413
20934,5144,8866
20935,2485,566
20940,5271,2216
20941,5271,7627
20942,3394,431
20950,8295,1468
20951,8295,8034
20956,6183,4820
20976,5775,2741
20977,5775,4012
20980,9207,9301
20986,5361,5844
20988,5361,8895
20989,2610,335
20991,1501,9188
20993,546,8513
20996,7928,5075
20998,7928,6596
21013,1976,9131
21040,8445,6927
21044,9117,7191
21046,9117,8669
21057,7443,4666
21112,7509,75
21115,8855,2899
21130,8979,3352
21133,8979,7075
21178,8412,4975
21183,5054,2834
21188,9791,9785
21193,2179,7363
21196,9383,2179
21202,8497,5067
21210,3675,1568
21229,7073,1381
21281,6688,8671
21298,6853,7730
21300,9336,3956
21301,9336,6531
21302,9336,6853
21316,5324,6357
21318,5324,7247
21323,4162,5155
21327,9708,4162
21342,6348,9246
21346,8152,833
21347,8152,9129
21357,4552,5643
21361,8455,4552
21363,7374,5194
21391,9798,2578
21403,4857,7822
21406,9670,6463
21416,3864,6260
21424,8005,616
21429,5234,1998
21436,4572,7266
21439,6842,430
21440,6842,3016
21447,9506,75
21470,1928,6758
21471,9705,2726
21473,8846,4445
21525,427,3736
21528,2766,4687
21530,2159,7038
21532,4330,4342
21533,9728,441
21535,9728,4047
21539,9274,2047
21550,9725,6467
21551,9725,6470
21556,938,9264
21557,4151,938
21558,4151,6467
21574,4539,3258
21578,9475,6414
21585,5061,5129
21616,1456,408
21620,7037,2620
21654,8839,7442
21671,2301,7037
21690,5647,5466
21692,5647,9151
21697,926,8311
21698,3888,96
21699,3888,2860
21700,7691,96
21704,1541,6271
21709,4205,2823
21728,9613,3996
21738,8607,9613
21757,6175,5195
21758,2802,1165
21759,2802,4734
21760,2802,5447
21763,5732,7614
21787,5345,8671
21799,7210,93
21800,7210,1558
21804,7210,6916
21805,7210,7338
21806,7210,9078
21821,6460,3066
21822,6460,4798
21823,6460,6061
21830,6563,4741
21836,9133,4265
21839,8511,3726
21843,8511,8505
21850,5545,5134
21853,2045,3356
21863,9873,7817
21865,8074,5255
21877,8503,4095
21888,9732,5581
21915,8258,6560
21942,3639,708
21947,6722,3639
21951,6722,8975
21952,586,2181
21970,4263,176
21988,8115,4351
21990,8115,6396
21993,577,2997
21994,577,6998
21995,9308,3956
21996,5341,3561
22009,1362,4422
22030,7779,5801
22036,4927,5171
22052,2114,3650
22053,2114,4376
22055,2114,8646
22057,5898,8750
22059,4377,1116
22063,8188,910
22072,8188,6646
22079,2198,3966
22082,9411,2186
22142,911,4585
22143,7774,7687
22146,1958,3927
22154,8925,4552
22171,6981,1590
22191,6777,3907
22192,6777,6171
22193,6777,9709
22194,6777,9844
22197,4022,2743
22205,4022,8193
22225,9762,7551
22239,3533,6866
22243,308,4240
22263,2073,3676
22301,8556,2060
22324,8788,1230
22355,6700,5589
22357,2885,8995
22380,5875,9101
22408,2829,9300
22436,7345,4973
22442,4830,1887
22444,6689,4830
22447,5562,2062
22500,8425,1552
22527,5015,1171
22528,5015,6079
22529,5015,6938
22539,8104,5653
22540,8104,7251
22541,8104,8852
22544,6653,1359
22628,1220,83
22664,2265,2164
22667,9250,3713
22668,8164,7422
22684,786,3013
22685,4124,73
22686,4124,3427
22693,8879,5611
22694,4039,6155
22718,8640,8943
22754,2780,7723
22761,266,85
22763,266,1589
22764,266,1641
22765,266,2403
22766,266,8424
22767,3923,429
22768,5386,8506
22769,5386,9559
22803,4786,4368
22815,352,4526
22818,1615,7093
22826,4575,4419
22831,4575,8585
22857,8178,3033
22868,5547,4897
22870,5547,8785
22892,4928,3192
22893,4928,9155
22894,4229,7918
22898,7473,6295
22913,1003,8328
22938,2996,6591
22947,9150,2564
22948,9150,2658
22985,7383,7135
22986,7383,9327
22989,7988,7913
22992,3416,4616
22993,3416,7988
23008,6633,9865
23021,166,1316
23022,166,2384
23026,9688,8086
23043,8461,951
23049,8461,5800
23075,9416,3920
23080,9416,7374
23086,9495,8090
